region,month,SRR_file
SA,2020-03,SRR11524818
SA,2020-03,SRR11524819
SA,2020-03,SRR11907581
SA,2020-03,SRR11907582
SA,2020-03,SRR11907583
SA,2020-03,SRR11907584
SA,2020-03,SRR11907585
SA,2020-03,SRR11907586
SA,2020-03,SRR11907587
SA,2020-03,SRR11907588
SA,2020-03,SRR11907589
SA,2020-03,SRR11907590
SA,2020-03,SRR11907591
SA,2020-03,SRR11907592
SA,2020-03,SRR11907597
SA,2020-03,SRR11907598
SA,2020-03,SRR11907599
SA,2020-03,SRR11907600
SA,2020-03,SRR11907601
SA,2020-03,SRR11907602
SA,2020-03,SRR11907603
SA,2020-03,SRR11907613
SA,2020-03,SRR11907614
SA,2020-03,SRR11907621
SA,2020-03,SRR11907626
SA,2020-03,SRR11907629
SA,2020-03,SRR14411456
SA,2020-03,SRR14411460
SA,2020-03,SRR14411461
SA,2020-04,SRR11907531
SA,2020-04,SRR11907541
SA,2020-04,SRR11907542
SA,2020-04,SRR11907544
SA,2020-04,SRR11907545
SA,2020-04,SRR11907548
SA,2020-04,SRR11907549
SA,2020-04,SRR11907550
SA,2020-04,SRR11907552
SA,2020-04,SRR11907553
SA,2020-04,SRR11907556
SA,2020-04,SRR11907557
SA,2020-04,SRR11907558
SA,2020-04,SRR11907559
SA,2020-04,SRR11907560
SA,2020-04,SRR11907561
SA,2020-04,SRR11907562
SA,2020-04,SRR11907563
SA,2020-04,SRR11907564
SA,2020-04,SRR11907565
SA,2020-04,SRR11907566
SA,2020-04,SRR11907567
SA,2020-04,SRR11907568
SA,2020-04,SRR11907569
SA,2020-04,SRR11907570
SA,2020-04,SRR11907571
SA,2020-04,SRR11907572
SA,2020-04,SRR11907573
SA,2020-04,SRR11907574
SA,2020-04,SRR11907575
SA,2020-04,SRR11907576
SA,2020-04,SRR11907593
SA,2020-04,SRR11907594
SA,2020-04,SRR11907595
SA,2020-04,SRR11907604
SA,2020-04,SRR11907605
SA,2020-04,SRR11907606
SA,2020-04,SRR11907608
SA,2020-04,SRR11907609
SA,2020-04,SRR11907610
SA,2020-04,SRR11907611
SA,2020-04,SRR11907612
SA,2020-04,SRR11907615
SA,2020-04,SRR11907618
SA,2020-04,SRR11907619
SA,2020-04,SRR11907620
SA,2020-04,SRR11907622
SA,2020-04,SRR11907623
SA,2020-04,SRR11907627
SA,2020-04,SRR11907628
SA,2020-04,SRR11907630
SA,2020-04,SRR11907635
SA,2020-04,SRR11907636
SA,2020-04,SRR11907637
SA,2020-04,SRR11907638
SA,2020-04,SRR12109421
SA,2020-04,SRR12109422
SA,2020-04,SRR12109423
SA,2020-04,SRR12109429
SA,2020-04,SRR12109433
SA,2020-04,SRR12109440
SA,2020-04,SRR12109451
SA,2020-04,SRR12109462
SA,2020-04,SRR12109473
SA,2020-04,SRR12109481
SA,2020-04,SRR12109482
SA,2020-04,SRR12109483
SA,2020-04,SRR12109484
SA,2020-04,SRR12109485
SA,2020-05,SRR11907631
SA,2020-05,SRR11907632
SA,2020-05,SRR11907633
SA,2020-05,SRR11907634
SA,2020-05,SRR12109428
SA,2020-05,SRR12109430
SA,2020-05,SRR12109431
SA,2020-05,SRR12109434
SA,2020-05,SRR12109442
SA,2020-05,SRR12109443
SA,2020-05,SRR12109450
SA,2020-05,SRR12109452
SA,2020-05,SRR12109453
SA,2020-05,SRR12109454
SA,2020-05,SRR12109455
SA,2020-05,SRR12109456
SA,2020-05,SRR12109457
SA,2020-05,SRR12109458
SA,2020-05,SRR12109459
SA,2020-05,SRR12109460
SA,2020-05,SRR12109461
SA,2020-05,SRR12109463
SA,2020-05,SRR12109464
SA,2020-05,SRR12109465
SA,2020-05,SRR12109466
SA,2020-05,SRR12109467
SA,2020-05,SRR12109468
SA,2020-05,SRR12109469
SA,2020-05,SRR12109470
SA,2020-05,SRR12109471
SA,2020-05,SRR12109472
SA,2020-05,SRR12109474
SA,2020-05,SRR12109475
SA,2020-05,SRR12109476
SA,2020-05,SRR12109477
SA,2020-05,SRR12109478
SA,2020-05,SRR12109479
SA,2020-05,SRR12109480
SA,2020-05,SRR22561795
SA,2020-06,SRR12109424
SA,2020-06,SRR12109425
SA,2020-06,SRR12109426
SA,2020-06,SRR12109427
SA,2020-06,SRR12109432
SA,2020-06,SRR12109435
SA,2020-06,SRR12109436
SA,2020-06,SRR12109437
SA,2020-06,SRR12109438
SA,2020-06,SRR12109439
SA,2020-06,SRR12109441
SA,2020-06,SRR12109444
SA,2020-06,SRR12109445
SA,2020-06,SRR12109446
SA,2020-06,SRR12109447
SA,2020-06,SRR12109448
SA,2020-06,SRR12109449
SA,2020-06,SRR12151732
SA,2020-06,SRR12151733
SA,2020-06,SRR12151734
SA,2020-06,SRR12151735
SA,2020-06,SRR12151736
SA,2020-06,SRR12151737
SA,2020-06,SRR12151738
SA,2020-06,SRR12151739
SA,2020-06,SRR12151740
SA,2020-06,SRR12151741
SA,2020-06,SRR12151742
SA,2020-06,SRR12151743
SA,2020-06,SRR12151744
SA,2020-06,SRR12151745
SA,2020-06,SRR12151746
SA,2020-06,SRR12151747
SA,2020-06,SRR12151748
SA,2020-06,SRR12151749
SA,2020-06,SRR12151750
SA,2020-06,SRR12151751
SA,2020-06,SRR12151752
SA,2020-06,SRR12151753
SA,2020-06,SRR12151754
SA,2020-06,SRR12151755
SA,2020-06,SRR12151756
